# model = krumsiek11.txt 
# tmax = 160
# branching = True
# nrRealizations = 10
# noiseObs = 0.01
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1 
  70  0.0283  0.0415  0.0191  0.0391 -0.0043  0.0409  0.9957  0.5209  0.8876  0.8723  0.0011
  71  0.0468  0.0361  0.0034  0.0091 -0.0160  0.0250  0.9912  0.5281  0.8891  0.8811 -0.0174
  72  0.0458  0.0192  0.0115  0.0172  0.0065  0.0290  0.9805  0.5533  0.8906  0.8813 -0.0032
  73  0.0286  0.0231 -0.0010  0.0264  0.0160  0.0174  0.9955  0.6067  0.8967  0.9000  0.0008
  74  0.0059  0.0052 -0.0085  0.0108  0.0051  0.0329  1.0160  0.6150  0.9017  0.9069  0.0059
  75  0.0326  0.0088 -0.0057  0.0162 -0.0062  0.0362  1.0120  0.6497  0.9291  0.9173  0.0251
  76  0.0300  0.0201 -0.0061  0.0047  0.0118  0.0204  1.0032  0.6816  0.9173  0.9119 -0.0057
  77  0.0187  0.0144  0.0050 -0.0022  0.0128  0.0230  1.0069  0.7049  0.9422  0.9166  0.0075
  78  0.0173 -0.0107 -0.0103  0.0082  0.0062  0.0169  1.0025  0.7432  0.9439  0.9275 -0.0062
  79  0.0191  0.0162  0.0159  0.0155 -0.0059  0.0107  1.0116  0.7580  0.9478  0.9431 -0.0030
  80  0.0040  0.0270  0.0063 -0.0034 -0.0149  0.0077  0.9963  0.7773  0.9415  0.9184 -0.0003
  81  0.0065  0.0102  0.0178 -0.0073 -0.0037  0.0249  0.9960  0.7782  0.9510  0.9416 -0.0049
  82  0.0285  0.0122  0.0144  0.0076  0.0097  0.0090  0.9967  0.8267  0.9552  0.9464  0.0003
  83  0.0118  0.0205  0.0060  0.0050 -0.0248  0.0075  0.9791  0.8323  0.9520  0.9482 -0.0065
  84  0.0230  0.0222 -0.0008  0.0084  0.0054  0.0142  0.9884  0.8440  0.9494  0.9497  0.0019
  85  0.0033  0.0144  0.0129  0.0067 -0.0143  0.0191  1.0068  0.8662  0.9711  0.9416  0.0067
  86  0.0217  0.0000 -0.0013  0.0107 -0.0035  0.0072  0.9900  0.8612  0.9581  0.9497  0.0065
  87 -0.0047 -0.0122  0.0115 -0.0101 -0.0078  0.0115  1.0126  0.8830  0.9695  0.9663 -0.0122
  88  0.0085  0.0022  0.0055 -0.0187  0.0076  0.0217  0.9855  0.9027  0.9687  0.9487  0.0146
  89 -0.0050  0.0127  0.0030  0.0086 -0.0131  0.0128  1.0115  0.9133  0.9635  0.9792  0.0014
  90  0.0034  0.0284  0.0074  0.0202  0.0156  0.0018  0.9792  0.8818  0.9874  0.9616 -0.0042
  91  0.0044 -0.0012 -0.0090  0.0102 -0.0217  0.0165  0.9988  0.9122  0.9753  0.9723 -0.0096
  92 -0.0028  0.0101  0.0032 -0.0071  0.0083 -0.0022  0.9974  0.9238  0.9622  0.9581 -0.0166
  93 -0.0174  0.0201  0.0068  0.0277  0.0139 -0.0101  0.9905  0.9283  0.9732  0.9753 -0.0123
  94 -0.0049  0.0215 -0.0003  0.0209  0.0035  0.0075  1.0003  0.9492  0.9745  0.9640 -0.0320
  95 -0.0125 -0.0006  0.0228  0.0096  0.0020 -0.0041  1.0184  0.9683  0.9986  0.9636 -0.0014
  96 -0.0032  0.0108  0.0180  0.0173  0.0156 -0.0057  0.9982  0.9433  0.9824  0.9721 -0.0027
  97 -0.0104  0.0166  0.0113  0.0078  0.0161  0.0017  0.9975  0.9590  0.9861  0.9639  0.0058
  98 -0.0175  0.0184  0.0179  0.0124 -0.0002 -0.0088  0.9865  0.9642  0.9857  0.9620 -0.0008
  99 -0.0021  0.0120  0.0070 -0.0018 -0.0006 -0.0054  0.9979  0.9576  0.9716  0.9699 -0.0041
 100 -0.0179  0.0285  0.0099 -0.0080  0.0051  0.0021  0.9689  0.9876  0.9795  0.9772 -0.0120
 101  0.0079  0.0031  0.0156  0.0017  0.0084 -0.0001  0.9862  0.9508  0.9911  0.9812 -0.0099
 102 -0.0127  0.0130 -0.0024  0.0032 -0.0057 -0.0081  0.9751  0.9621  0.9728  0.9658 -0.0211
 103 -0.0012  0.0103  0.0037 -0.0009  0.0044 -0.0099  1.0019  0.9571  0.9920  0.9703 -0.0214
 104  0.0019  0.0170 -0.0133 -0.0032 -0.0028 -0.0121  0.9909  0.9613  0.9748  0.9849 -0.0035
 105 -0.0088  0.0050 -0.0048  0.0059  0.0143  0.0015  0.9850  0.9607  0.9893  0.9490 -0.0068
 106 -0.0006  0.0312 -0.0018 -0.0088  0.0040  0.0011  0.9927  0.9592  0.9806  0.9731 -0.0253
 107  0.0055  0.0162 -0.0167 -0.0029  0.0279 -0.0013  1.0065  0.9746  0.9821  0.9880  0.0134
 108 -0.0025  0.0061 -0.0015 -0.0026  0.0188  0.0102  0.9956  0.9634  0.9875  0.9785 -0.0254
 109  0.0071  0.0144 -0.0098 -0.0069 -0.0065 -0.0088  0.9820  0.9741  0.9863  0.9769  0.0137
 110  0.0074  0.0153  0.0088  0.0044  0.0098 -0.0019  0.9982  0.9738  0.9869  0.9628 -0.0083
 111  0.0094  0.0215  0.0131 -0.0111  0.0028  0.0003  0.9893  0.9929  0.9913  0.9468 -0.0005
 112  0.0072  0.0024  0.0041 -0.0093  0.0013  0.0122  0.9946  0.9907  0.9814  0.9762  0.0027
 113 -0.0156  0.0079 -0.0335  0.0086  0.0093  0.0057  1.0025  0.9643  0.9976  0.9460 -0.0035
 114  0.0081  0.0131  0.0055 -0.0225  0.0087  0.0058  0.9767  0.9805  0.9887  0.9545 -0.0025
 115  0.0182  0.0115 -0.0142 -0.0040 -0.0042  0.0106  1.0011  0.9861  0.9837  0.9743  0.0048
 116  0.0046  0.0079 -0.0055 -0.0082  0.0005  0.0127  1.0168  0.9763  0.9965  0.9820  0.0013
 117  0.0138  0.0015 -0.0040 -0.0091 -0.0017 -0.0033  0.9786  0.9890  1.0040  0.9831  0.0170
 118  0.0106  0.0122  0.0022 -0.0000  0.0069  0.0035  1.0008  0.9862  1.0111  0.9910  0.0083
 119 -0.0184  0.0052 -0.0039 -0.0036  0.0053  0.0011  0.9769  1.0003  0.9938  0.9826  0.0054
 120  0.0187 -0.0016  0.0055  0.0027  0.0265 -0.0118  0.9938  0.9957  0.9963  0.9709  0.0132
 121  0.0017  0.0185 -0.0018 -0.0022  0.0101  0.0122  0.9880  0.9747  1.0026  0.9688  0.0008
 122  0.0052 -0.0084  0.0163 -0.0166 -0.0055 -0.0021  0.9886  0.9876  0.9738  0.9777  0.0095
 123  0.0038  0.0063 -0.0086 -0.0101  0.0147 -0.0196  0.9863  1.0075  0.9790  0.9737  0.0204
 124 -0.0189 -0.0013 -0.0080 -0.0086  0.0197 -0.0107  0.9842  0.9877  0.9880  0.9709  0.0251
 125 -0.0028  0.0006 -0.0036 -0.0082 -0.0218  0.0122  0.9907  0.9822  0.9843  0.9673  0.0101
 126  0.0070 -0.0077  0.0022 -0.0120  0.0150  0.0201  1.0090  0.9806  0.9902  0.9619  0.0203
 127 -0.0078  0.0072  0.0018 -0.0217  0.0288 -0.0029  0.9896  0.9934  0.9568  0.9613 -0.0052
 128 -0.0183 -0.0086  0.0178 -0.0040 -0.0090 -0.0027  1.0068  0.9958  0.9791  0.9565  0.0183
 129  0.0081 -0.0268 -0.0045  0.0106  0.0151 -0.0031  1.0007  0.9948  0.9986  0.9620 -0.0020
 130  0.0162 -0.0164 -0.0088 -0.0022  0.0150  0.0139  0.9868  0.9742  0.9980  0.9766  0.0332
 131 -0.0053 -0.0045 -0.0066  0.0108 -0.0172 -0.0049  0.9969  0.9949  0.9716  0.9736  0.0153
 132 -0.0097  0.0178 -0.0154 -0.0024  0.0188  0.0278  0.9715  0.9903  0.9750  0.9798 -0.0028
 133 -0.0010  0.0015  0.0077  0.0230  0.0139  0.0022  0.9969  0.9863  0.9854  0.9662  0.0133
 134  0.0201 -0.0261  0.0160  0.0084 -0.0048  0.0015  1.0017  0.9796  0.9636  0.9586  0.0023
 135 -0.0093 -0.0131 -0.0017  0.0090  0.0121 -0.0014  1.0161  0.9885  0.9770  0.9778  0.0181
 136  0.0136 -0.0064  0.0059 -0.0007 -0.0005 -0.0043  0.9838  1.0076  0.9784  0.9618  0.0043
 137 -0.0095 -0.0047 -0.0165 -0.0072  0.0249  0.0031  0.9877  0.9974  0.9919  0.9694 -0.0052
 138 -0.0038 -0.0028 -0.0039 -0.0047  0.0182  0.0054  1.0037  0.9847  0.9805  0.9689 -0.0030
 139 -0.0077  0.0023 -0.0137 -0.0138  0.0177  0.0128  0.9979  1.0147  0.9837  0.9570 -0.0004
 140 -0.0137 -0.0050 -0.0084 -0.0014  0.0336 -0.0005  1.0056  0.9894  0.9910  0.9571 -0.0066
 141 -0.0009 -0.0114 -0.0024  0.0065  0.0091 -0.0123  1.0011  0.9902  0.9847  0.9615 -0.0022
 142  0.0114 -0.0236  0.0095 -0.0147 -0.0053  0.0155  1.0134  1.0176  0.9949  0.9863  0.0134
 143  0.0018 -0.0133 -0.0021 -0.0046  0.0023  0.0059  0.9998  1.0030  0.9687  0.9837  0.0132
 144  0.0012  0.0037 -0.0106 -0.0109  0.0181 -0.0002  0.9948  1.0035  0.9785  0.9736  0.0062
 145  0.0040 -0.0216  0.0104 -0.0086  0.0008 -0.0038  1.0081  0.9866  0.9800  0.9657  0.0126
 146  0.0145  0.0064  0.0154 -0.0028  0.0048  0.0222  0.9848  0.9678  0.9841  0.9660 -0.0019
 147 -0.0224 -0.0036  0.0119  0.0047  0.0023 -0.0031  0.9809  0.9871  0.9730  0.9699 -0.0039
 148  0.0071  0.0025  0.0082 -0.0061 -0.0132 -0.0012  0.9971  0.9971  0.9944  0.9836 -0.0053
 149 -0.0142 -0.0143  0.0012  0.0118  0.0025  0.0101  0.9896  0.9773  0.9841  0.9746 -0.0064
 150  0.0021 -0.0145 -0.0039  0.0180 -0.0105 -0.0063  0.9791  1.0184  0.9809  0.9715  0.0039
 151  0.0082  0.0048 -0.0032  0.0074  0.0069  0.0043  1.0028  1.0087  0.9868  0.9659  0.0013
 152 -0.0127 -0.0314  0.0102 -0.0052  0.0115  0.0022  0.9857  0.9901  0.9844  0.9632 -0.0061
 153  0.0061 -0.0203 -0.0009  0.0045 -0.0069  0.0045  0.9868  0.9983  0.9851  0.9632 -0.0102
 154  0.0098 -0.0035 -0.0128  0.0031  0.0012  0.0152  0.9873  0.9887  0.9819  0.9716  0.0135
 155  0.0121 -0.0146 -0.0028  0.0022  0.0060  0.0011  1.0050  0.9859  0.9876  0.9708  0.0084
 156  0.0119 -0.0146  0.0210  0.0073  0.0006 -0.0012  0.9754  1.0083  1.0021  0.9751  0.0262
 157  0.0049 -0.0150 -0.0027 -0.0048 -0.0031  0.0076  0.9915  0.9858  0.9831  0.9731  0.0028
 158 -0.0145 -0.0008 -0.0018 -0.0105 -0.0013 -0.0079  1.0040  0.9949  0.9825  0.9756  0.0047
 159 -0.0051 -0.0200  0.0023 -0.0158  0.0020  0.0040  1.0039  1.0064  0.9807  0.9692 -0.0049
   0  0.7848 -0.0120 -0.0032 -0.0125 -0.0025 -0.0181  0.7877  0.7998 -0.0034 -0.0130 -0.0054
   1  0.7290 -0.0012 -0.0074  0.0127  0.0006 -0.0002  0.8067  0.7303  0.0798 -0.0023  0.1234
   2  0.6697  0.0220 -0.0028  0.0091  0.0215  0.0085  0.8330  0.6509  0.1143  0.0279  0.1772
   3  0.6100 -0.0019 -0.0014  0.0032  0.0134 -0.0129  0.8616  0.6051  0.1292  0.0421  0.1742
   4  0.5470 -0.0026 -0.0140  0.0044  0.0068  0.0130  0.8796  0.5463  0.1524  0.0608  0.1672
   5  0.5196  0.0046 -0.0105  0.0094 -0.0037 -0.0019  0.8802  0.4771  0.1742  0.0572  0.1690
   6  0.4462 -0.0038 -0.0009  0.0053 -0.0085  0.0173  0.9088  0.4463  0.1554  0.0507  0.1906
   7  0.4036  0.0167  0.0111  0.0019 -0.0293 -0.0105  0.9093  0.4267  0.1837  0.0457  0.1604
   8  0.3877  0.0307 -0.0031  0.0079  0.0036  0.0085  0.9159  0.3629  0.1697  0.0607  0.1570
   9  0.3539  0.0334  0.0010 -0.0242 -0.0028  0.0031  0.9253  0.3524  0.1699  0.0590  0.1645
  10  0.3058  0.0417 -0.0099 -0.0184  0.0106  0.0052  0.9434  0.3197  0.1994  0.0640  0.1623
  11  0.2829  0.0565 -0.0010  0.0118  0.0175  0.0090  0.9385  0.2759  0.2111  0.0729  0.1469
  12  0.2479  0.0284  0.0002 -0.0007  0.0037  0.0000  0.9378  0.2711  0.2482  0.0847  0.1187
  13  0.2619  0.0375 -0.0057  0.0047  0.0011  0.0211  0.9467  0.2628  0.2348  0.1034  0.1386
  14  0.2428  0.0367  0.0042  0.0071  0.0103  0.0111  0.9510  0.2579  0.2450  0.1214  0.1018
  15  0.2172  0.0333 -0.0218  0.0024  0.0048 -0.0073  0.9620  0.2252  0.2578  0.1267  0.0975
  16  0.1982  0.0514 -0.0048  0.0148 -0.0013  0.0291  0.9541  0.2229  0.2776  0.1419  0.0899
  17  0.2055  0.0650  0.0027  0.0097 -0.0085  0.0063  0.9834  0.2112  0.3049  0.1339  0.0892
  18  0.1942  0.0578 -0.0024  0.0075 -0.0043  0.0167  0.9574  0.2080  0.3286  0.1701  0.0718
  19  0.1899  0.0622 -0.0016  0.0096 -0.0004  0.0125  0.9895  0.1915  0.3320  0.2033  0.0635
  20  0.1885  0.0603 -0.0178  0.0006  0.0041  0.0141  0.9776  0.2015  0.3844  0.2105  0.0591
  21  0.1618  0.0708 -0.0115  0.0139  0.0075  0.0366  0.9909  0.2089  0.3944  0.2460  0.0600
  22  0.1663  0.0587 -0.0116  0.0093 -0.0015  0.0297  0.9721  0.1898  0.4177  0.2677  0.0351
  23  0.1771  0.0723  0.0131  0.0188  0.0124  0.0112  0.9985  0.2077  0.4279  0.3115  0.0251
  24  0.1499  0.0791  0.0025  0.0278 -0.0022  0.0432  0.9827  0.1862  0.4624  0.3143  0.0417
  25  0.1548  0.0840 -0.0043 -0.0076  0.0059  0.0434  0.9969  0.1747  0.4772  0.3532  0.0356
  26  0.1706  0.1039 -0.0100  0.0351 -0.0024  0.0355  1.0025  0.1841  0.5077  0.3782  0.0496
  27  0.1524  0.1264  0.0024  0.0217  0.0244  0.0566  1.0087  0.1830  0.5079  0.3938  0.0225
  28  0.1702  0.0952  0.0115  0.0315  0.0006  0.0692  0.9878  0.1791  0.5442  0.4188  0.0300
  29  0.1661  0.1036 -0.0032  0.0378  0.0015  0.0552  0.9997  0.1710  0.5526  0.4445  0.0264
  30  0.1502  0.1144  0.0145  0.0252  0.0171  0.0710  1.0183  0.1683  0.5614  0.4743  0.0208
  31  0.1484  0.1258 -0.0009  0.0264  0.0112  0.0688  0.9845  0.1587  0.5702  0.4587  0.0091
  32  0.1558  0.1348  0.0116  0.0418  0.0196  0.0903  0.9998  0.1335  0.5722  0.4967  0.0163
  33  0.1602  0.1126  0.0291  0.0339  0.0079  0.0877  1.0048  0.1670  0.5992  0.5157  0.0068
  34  0.1539  0.1230  0.0273  0.0270  0.0189  0.1043  0.9992  0.1379  0.5939  0.5478  0.0040
  35  0.1574  0.1469  0.0149  0.0437  0.0328  0.1198  1.0034  0.1421  0.6137  0.5362  0.0043
  36  0.1565  0.1317  0.0007  0.0498  0.0049  0.1419  1.0154  0.1406  0.5961  0.5463  0.0127
  37  0.1786  0.1500  0.0067  0.0278  0.0378  0.1232  0.9861  0.1220  0.6077  0.5809  0.0187
  38  0.1658  0.1393  0.0141  0.0383  0.0307  0.1412  0.9925  0.1266  0.5980  0.5609  0.0005
  39  0.1950  0.1694  0.0124  0.0724  0.0445  0.1644  1.0078  0.1387  0.6214  0.5591  0.0164
  40  0.1945  0.1739  0.0210  0.0509  0.0263  0.1737  0.9942  0.1098  0.6195  0.5726  0.0128
  41  0.1937  0.1706  0.0174  0.0580  0.0407  0.2024  0.9908  0.1211  0.5905  0.5831  0.0135
  42  0.1996  0.2023  0.0169  0.0597  0.0561  0.2312  1.0005  0.0910  0.5996  0.5594  0.0070
  43  0.2149  0.2016  0.0157  0.0487  0.0548  0.2418  0.9794  0.0755  0.5957  0.5505  0.0161
  44  0.2404  0.2012  0.0390  0.1047  0.0609  0.2499  1.0115  0.0969  0.5731  0.5558  0.0173
  45  0.2605  0.2339  0.0087  0.0831  0.0611  0.2483  0.9954  0.0959  0.5524  0.5305  0.0108
  46  0.2884  0.2372  0.0131  0.1056  0.0535  0.2935  0.9802  0.0659  0.5644  0.5103  0.0232
  47  0.2981  0.2914  0.0242  0.1035  0.0626  0.3174  0.9797  0.0780  0.5234  0.4931  0.0140
  48  0.3188  0.3004  0.0410  0.1010  0.0761  0.3577  0.9772  0.0675  0.5075  0.4793  0.0188
  49  0.3528  0.3535  0.0442  0.1016  0.0650  0.3783  0.9498  0.0633  0.4757  0.4591  0.0153
  50  0.3712  0.3756  0.0655  0.1296  0.0756  0.4278  0.9627  0.0398  0.4465  0.4587  0.0273
  51  0.4306  0.4014  0.0862  0.1206  0.0898  0.4406  0.9427  0.0330  0.4268  0.4100  0.0113
  52  0.4489  0.4388  0.0411  0.1411  0.1027  0.4828  0.9161  0.0402  0.4027  0.3796  0.0140
  53  0.4792  0.4581  0.0605  0.1544  0.1049  0.5131  0.9034  0.0313  0.3675  0.3528  0.0015
  54  0.4965  0.5013  0.0947  0.1645  0.1039  0.5254  0.8706  0.0291  0.3677  0.3475 -0.0071
  55  0.5041  0.5353  0.1170  0.1606  0.1031  0.5676  0.8569  0.0184  0.3406  0.3101  0.0063
  56  0.5405  0.5459  0.1122  0.1664  0.1156  0.6005  0.8104  0.0404  0.3155  0.2910  0.0126
  57  0.5661  0.5833  0.1346  0.1985  0.0963  0.6246  0.7530  0.0338  0.2981  0.2906 -0.0045
  58  0.5870  0.6164  0.1547  0.1927  0.0977  0.6637  0.7295  0.0379  0.2867  0.2627  0.0044
  59  0.5964  0.6534  0.1641  0.1949  0.1051  0.7020  0.7091  0.0372  0.2535  0.2185  0.0085
  60  0.6184  0.6653  0.1757  0.2158  0.1271  0.7006  0.6455  0.0241  0.2137  0.2356  0.0212
  61  0.6069  0.6839  0.1791  0.2077  0.1172  0.7229  0.6191  0.0385  0.2054  0.1917  0.0088
  62  0.6263  0.7266  0.2084  0.2101  0.1009  0.7584  0.5895  0.0325  0.1973  0.2023  0.0074
  63  0.6298  0.7287  0.2170  0.2240  0.1028  0.7612  0.5667 -0.0020  0.1882  0.1579  0.0331
  64  0.6227  0.7342  0.2312  0.2510  0.1117  0.7847  0.5152  0.0050  0.1699  0.1475  0.0253
  65  0.6346  0.7622  0.2437  0.2215  0.1125  0.8021  0.4825  0.0200  0.1639  0.1463  0.0289
  66  0.6528  0.7862  0.2704  0.2405  0.1049  0.8299  0.4631  0.0214  0.1241  0.1409 -0.0002
  67  0.6309  0.8052  0.2666  0.2613  0.1261  0.8220  0.4374  0.0020  0.1277  0.1274  0.0268
  68  0.6301  0.8216  0.2867  0.2660  0.1118  0.8456  0.4007  0.0074  0.1134  0.1124  0.0264
